Event,,Lat ( ° ),Lon ( ° ),Depth (km),Local Magnitude,Moment magnitude,Seismic moment (Nm),No. EGF,P-wave measurements,,,S-wave measurements,,
,,,,,,,,,Stations,Corner frequecy (Hz), Stress Drop (MPa),Stations, Corner frequecy (Hz),Stress Drops (MPa)
,20160707035129,-43.329,170.363,8.5,2.4,,3.98E+12,60,6,22.3,13.9,7.0,24.0,32.6
,20160826110834,-43.498,170.269,8.3,2.0,,1.00E+12,148,11,39.9,20.1,11.0,34.7,24.7
,20160930183055,-43.33,170.365,6.5,2.0,,1.00E+12,53,5,22.6,3.7,10.0,28.0,13.0
,20161002041856,-43.33,170.358,10.1,2.3,,2.82E+12,51,5,25.0,14.0,8.0,24.1,23.2
,20161007234558,-43.076,170.849,10.0,3.4,,1.26E+14,16,,,,9.0,5.7,14.1
,20161019034943,-43.508,170.313,7.1,1.8,,5.01E+11,99,8,53.5,24.3,,,
,20161118002607,-43.503,170.311,10.1,2.1,,1.41E+12,161,11,36.8,22.3,12.0,30.3,23.2
,20161209200912,-43.305,170.823,15.3,3.4,,1.26E+14,68,9,14.7,125.5,9.0,15.0,249.0
,20161216223552,-43.496,170.27,8.0,2.0,,1.00E+12,170,11,26.1,5.7,12.0,21.4,5.8
,20161216223625,-43.495,170.265,8.3,2.1,,1.41E+12,183,12,26.3,8.1,12.0,23.1,10.3
,20161220170740,-43.493,170.265,5.4,2.1,,1.41E+12,211,6,26.6,8.4,7.0,21.8,8.6
,20161224081321,-43.492,170.263,7.9,2.2,,2.00E+12,221,,,,13.0,28.8,28.1
,20170111174757,-43.496,170.264,10.2,2.2,,2.00E+12,114,9,26.8,12.1,9.0,18.3,7.2
,20170111192850,-43.496,170.271,8.1,2.5,,5.62E+12,300,14,22.1,19.1,14.0,14.6,10.4
,20170114033216,-43.437,170.339,8.6,3.3,,8.91E+13,86,,,,9.0,13.9,141.8
,20170131212804,-43.299,170.817,11.3,2.1,,1.41E+12,31,5,28.5,10.4,4.0,28.1,18.4
,20170202194845,-43.493,170.285,6.4,2.0,,1.00E+12,204,12,29.4,8.0,,,
,20170209102327,-43.522,170.12,10.8,2.0,,1.00E+12,35,,,,7.0,27.9,12.9
,20170220204526,-43.489,170.287,6.8,2.2,,2.00E+12,297,11,23.3,8.0,13.0,23.1,14.6
South Westland section,20190424053250,-44.09,168.86,5.4,2.2,2.2,1.86E+12,24,7,32.0,13.9,6.0,31.9,25.6
,20190613012055,-44.07,168.73,6.6,2.7,2.6,8.08E+12,813,9,21.3,17.9,11.0,15.7,13.4
,20190615033108,-44.07,168.72,6.2,2.1,2.1,1.45E+12,839,8,31.2,10.1,10.0,27.6,13.0
,20190624061848,-44.06,168.72,6.2,2.1,2.1,1243013267079,846,8.0,37.3,14.8,9.0,33.6,20.1
,20190627160744,-44.154,168.79,6.6,2.0,2.0,1083002868183,76,,,,7.0,27.8,10.0
,20190628141228,-44.31,168.92,7.0,2.6,2.5,6038381905361,6,9.0,14.8,4.5,10.0,17.9,14.8
,20190701135743,-44.07,168.72,6.3,2.4,2.3,2979854898116,480,8.0,52.7,99.4,,,
,20190701184632,-44.07,168.72,6.4,2.7,2.6,7834274104265,883,7.0,45.4,167.1,10.0,11.6,5.2
,20190702213329,-44.06,168.73,6.5,2.2,2.2,1849202698237,818,6.0,31.1,12.7,6.0,31.1,23.8
,20190704083147,-44.06,168.72,6.7,4.2,3.9,667125327187426,60,11.0,11.5,232.0,18.0,8.7,186.2
,20190705185504,-44.142,168.44,4.6,2.7,2.6,8207736150071,74,,,,9.0,12.1,6.1
,20190710082627,-44.1,168.76,5.8,2.5,2.5,4968903055962,230,,,,8.0,32.3,71.0
,20190711174341,-44.15,168.82,5.6,2.0,2.0,976391751048,47,4.0,19.2,1.6,6.0,19.4,3.0
,20190719094538,-44.06,168.74,6.4,2.2,2.2,1748006428916,869,7.0,30.5,11.4,9.0,36.5,36.2
,20190720043854,-44.1,168.78,3.7,2.3,2.2,2062640499141,228,9.0,28.7,11.1,9.0,22.3,9.8
,20190723200202,-44.06,168.72,6.2,2.1,2.1,1214617722227,858,6.0,34.6,11.5,9.0,33.4,19.3
,20190801233312,-44.09,168.85,5.0,2.5,2.4,4015195579081,19,8.0,33.9,35.7,,,
,20190825045650,-44.201,168.67,5.4,2.4,2.4,3479719974587,185,,,,6.0,21.2,14.2
,20190829121738,-44.2,168.67,5.7,2.1,2.1,1258355472856,109,6.0,41.0,19.8,,,
,20190830022535,-44.1,168.78,4.3,2.3,2.2,2142508546277,116,7.0,41.8,35.9,,,
,20190901132954,-44.163,168.66,7.1,2.3,2.2,2061586359991,125,,,,7.0,27.2,17.7
,20190910044226,-44.1,168.77,4.3,2.5,2.5,4929507311391,305,5.0,20.1,9.2,8.0,21.8,21.7
,20190927041331,-44.14,168.73,7.8,2.1,2.1,1319855188519,77,6.0,24.8,4.6,8.0,24.1,7.9
,20191004070443,-44.08,168.83,5.5,2.2,2.1,1607211857645,35,6.0,23.4,4.7,5.0,23.4,8.8
,20191007171900,-44.139,168.7,3.6,2.4,2.3,3218474512735,119,,,,6.0,25.2,21.9
,20191201130338,-44.15,168.68,7.8,2.6,2.5,5028584124763,89,,,,9.0,18.2,12.9
,20200109031648,-44.09,168.82,10.1,3.0,2.9,19785656385999,44,4.0,11.7,7.2,5.0,11.7,13.4
,20200123190726,-44.15,168.73,9.0,2.3,2.3,2715009767996,76,6.0,44.2,53.6,7.0,43.5,95.2
,20200408045438,-44.15,168.44,8.1,2.6,2.5,5973407342287,85,2.0,16.9,6.6,5.0,16.9,12.2
