id,qlat,qlon,qyr,qmon,qdy,qhr,qmn,qsc,ml,qdep,name
1045,-42.92,171.789,2019,10,24,11,08,48,0.769269952686732,19.3,20191024110848
1046,-42.778,171.697,2020,03,03,13,03,35,0.7054157058614744,9.7,20200303130335
1047,-42.889,171.74,2019,05,20,19,44,59,1.137113966799103,10.3,20190520194459
1048,-42.887,171.95,2019,07,04,22,35,55,1.4446920347000094,14.4,20190704223555
1049,-42.902,171.695,2019,08,31,08,15,05,1.5240883258155573,10.3,20190831081505
1050,-42.618,171.839,2019,06,27,03,40,56,1.165162293097656,10.6,20190627034056
1051,-42.765,171.675,2020,01,17,17,43,17,0.41262670136275226,8.4,20200117174317
1052,-42.758,171.798,2019,07,07,02,55,31,0.4367957543906665,7.9,20190707025531
1053,-42.702,171.675,2019,05,11,21,08,02,0.33402704527978294,16.8,20190511210802
1054,-42.877,171.319,2019,07,08,12,37,10,0.6469764911304412,7.6,20190708123710
1055,-42.678,171.714,2019,07,21,21,39,46,0.8689728220435854,7.6,20190721213946
1056,-42.863,171.619,2019,08,01,09,25,00,0.8032112173897649,11.1,20190801092500
1057,-42.773,171.764,2019,08,11,22,05,15,0.5756591100825187,9.6,20190811220515
1058,-42.874,171.628,2019,09,20,12,40,35,0.7120790342017197,8.4,20190920124035
1059,-42.757,171.723,2020,01,11,09,03,34,0.6854299192036954,11.0,20200111090334
1060,-42.834,171.424,2019,12,18,05,55,58,1.804671201228991,11.3,20191218055558
1061,-42.751,171.238,2020,03,06,09,41,26,0.6450117319205955,13.9,20200306094126
1062,-42.722,171.745,2019,11,02,21,18,16,-0.10589220899766287,8.0,20191102211816
1063,-42.806,171.406,2019,05,06,01,07,18,0.3930704297567039,7.7,20190506010718
1064,-42.864,171.614,2019,07,31,15,20,24,4.001124588377606,10.0,20190731152024
1065,-42.758,171.479,2019,06,12,09,00,59,0.40161141174822645,7.1,20190612090059
1066,-42.703,171.824,2019,08,13,05,51,52,1.317417440075869,13.7,20190813055152
1067,-42.841,171.429,2019,12,26,20,27,03,0.8677268188756363,10.0,20191226202703
1068,-42.7,171.694,2019,07,03,15,45,55,0.3218076658026292,8.2,20190703154555
1069,-42.874,171.628,2019,08,12,14,44,45,0.6229012556175206,7.3,20190812144445
1070,-42.676,171.703,2019,10,21,04,22,14,0.6024366996114291,8.7,20191021042214
1071,-42.765,171.659,2019,10,29,21,02,31,0.30318838893183214,7.6,20191029210231
1072,-42.781,171.66,2019,11,25,13,11,06,0.6791181049349507,6.5,20191125131106
1073,-42.75,171.682,2019,07,09,06,44,11,0.3062560754178185,9.2,20190709064411
1074,-42.919,171.412,2019,07,06,18,41,52,0.43466991146707773,10.4,20190706184152
1075,-42.772,171.488,2019,06,18,07,46,59,0.6390854395926286,7.1,20190618074659
1076,-42.797,171.682,2019,12,24,15,16,22,0.8631541767621782,13.6,20191224151622
1077,-42.59,171.943,2019,07,21,02,04,33,1.3783972026934679,15.7,20190721020433
1078,-42.645,171.96,2019,11,27,03,27,48,2.2841678504052276,12.3,20191127032748
1079,-42.627,171.909,2019,06,06,06,30,49,0.9066402165604552,4.0,20190606063049
1080,-42.911,171.703,2020,02,23,02,35,15,0.8864443016241507,11.1,20200223023515
1081,-42.601,171.872,2019,07,19,09,49,56,0.5696924813702547,11.2,20190719094956
1082,-42.885,171.731,2019,07,26,19,52,43,0.7614511682252509,12.3,20190726195243
1083,-42.619,171.803,2019,09,06,10,51,42,1.0110552963908106,13.0,20190906105142
1084,-42.996,171.41,2020,01,30,18,14,29,1.0303108664321445,4.0,20200130181429
1085,-42.759,171.735,2019,06,22,07,53,59,0.4251715209171008,9.0,20190622075359
1086,-42.759,171.744,2019,07,05,12,07,17,1.5450763732024737,8.2,20190705120717
1087,-42.872,171.62,2020,03,02,06,44,02,2.766341925927689,7.6,20200302064402
1088,-42.808,171.667,2019,08,05,23,38,05,0.1141626147376798,8.0,20190805233805
1089,-42.887,171.744,2019,06,27,20,44,16,0.5513252632121397,11.0,20190627204416
1090,-42.704,171.971,2019,10,03,01,20,15,0.9211155193119103,11.8,20191003012015
1091,-42.801,171.836,2019,12,04,14,34,57,1.3868135159367387,17.3,20191204143457
1092,-42.701,171.372,2019,09,27,16,30,23,2.925665052159791,16.1,20190927163023
1093,-42.719,171.751,2020,02,22,17,14,24,0.9479863612748716,11.2,20200222171424
1094,-42.936,171.694,2019,05,05,06,53,24,1.1020088080376782,9.4,20190505065324
1095,-42.933,171.819,2019,05,07,06,39,55,0.8215525888289019,10.9,20190507063955
1096,-42.632,171.837,2019,05,22,20,57,39,0.487155481927327,10.0,20190522205739
1097,-42.666,171.933,2019,06,07,15,40,06,0.8023681025492254,12.8,20190607154006
1098,-42.7,171.705,2019,06,13,23,08,01,0.5479859670898664,9.1,20190613230801
1099,-42.765,171.824,2019,08,25,05,02,05,0.6758312662142834,7.6,20190825050205
1100,-42.808,171.661,2019,10,25,08,24,11,0.305914469235514,7.8,20191025082411
1101,-42.745,171.571,2019,11,26,17,09,15,0.2524529122911183,11.4,20191126170915
1102,-42.704,171.982,2019,08,17,00,28,16,1.3892399138039655,10.5,20190817002816
1103,-42.888,171.577,2019,10,22,13,50,07,0.6715660489469052,8.0,20191022135007
1104,-42.708,171.69,2019,06,09,19,03,27,0.6779783765449927,10.6,20190609190327
1105,-42.619,171.851,2019,08,05,18,51,52,0.5477433261144398,8.3,20190805185152
1106,-42.781,171.664,2019,08,11,03,18,14,0.3863145801690219,9.9,20190811031814
1107,-42.987,171.534,2020,02,11,16,31,01,0.627549695340867,8.5,20200211163101
1108,-42.678,171.849,2019,07,24,10,03,04,0.5129933854240825,11.0,20190724100304
1109,-42.738,171.716,2019,05,23,21,07,16,1.224856325078043,9.7,20190523210716
1110,-42.693,171.748,2020,02,01,04,39,52,0.3227495020798777,12.5,20200201043952
1111,-42.711,171.83,2019,06,14,00,03,53,0.4014319178699186,12.1,20190614000353
1112,-42.888,171.613,2020,01,24,19,19,28,0.4721577673423826,10.8,20200124191928
1113,-42.768,171.676,2019,11,03,11,25,46,0.6463523343544352,7.7,20191103112546
1114,-42.666,171.672,2019,05,23,09,46,25,0.27846598337579,6.7,20190523094625
1115,-42.966,171.512,2019,12,26,21,17,35,1.704978230149481,6.9,20191226211735
1116,-42.782,171.606,2020,01,25,02,05,12,0.4371371945494336,11.3,20200125020512
1117,-42.859,171.808,2020,03,03,02,09,34,1.1536083131289814,4.4,20200303020934
1118,-42.687,171.369,2019,09,23,05,11,14,1.6296583572265901,15.5,20190923051114
1119,-42.6,171.914,2019,06,13,16,20,51,0.6445040343641351,12.4,20190613162051
1120,-42.728,171.363,2019,11,19,06,23,25,1.863619563504681,15.4,20191119062325
1121,-42.699,171.746,2019,06,04,08,25,57,0.2649069232521497,12.2,20190604082557
1122,-42.767,171.75,2020,02,13,14,11,42,0.8669727144261191,8.1,20200213141142
1123,-42.957,171.883,2019,05,27,05,28,57,0.8848413749221334,17.6,20190527052857
1124,-42.702,171.849,2019,08,31,11,29,03,0.29139852417343515,12.0,20190831112903
1125,-42.754,171.481,2019,06,03,18,13,34,0.8459244368990184,7.4,20190603181334
